,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
764,765,Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%,2017
765,766,Immortals,"$226,904,017","$83,504,017",36.8%,"$143,400,000",63.2%,2011
766,767,Taken,"$226,837,760","$145,000,989",63.9%,"$81,836,771",36.1%,2008
767,768,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.2%,"$137,728,906",60.8%,2010
768,769,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%,2022
769,770,Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.6%,"$170,646,274",75.4%,2013
770,771,Valerian and the City of a Thousand Planets,"$225,973,340","$41,189,488",18.2%,"$184,783,852",81.8%,2017
771,772,Good Will Hunting,"$225,933,435","$138,433,435",61.3%,"$87,500,000",38.7%,1997
772,773,Better Days,"$225,918,798","$1,921,657",0.8%,"$223,997,141",99.2%,2019
773,774,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,2019
774,775,Jumper,"$225,132,113","$80,172,128",35.6%,"$144,959,985",64.4%,2008
775,776,The Social Network,"$224,927,749","$96,962,694",43.1%,"$127,965,055",56.9%,2010
776,777,Chicken Run,"$224,888,359","$106,834,564",47.5%,"$118,053,795",52.5%,2000
777,778,Con Air,"$224,012,234","$101,117,573",45.1%,"$122,894,661",54.9%,1997
778,779,Interview with the Vampire: The Vampire Chronicles,"$223,664,608","$105,264,608",47.1%,"$118,400,000",52.9%,1994
779,780,Flightplan,"$223,387,299","$89,707,299",40.2%,"$133,680,000",59.8%,2005
780,781,Yes Man,"$223,241,637","$97,690,976",43.8%,"$125,550,661",56.2%,2008
781,782,Non-Stop,"$222,809,600","$92,168,600",41.4%,"$130,641,000",58.6%,2014
782,783,"Honey, I Shrunk the Kids","$222,724,172","$130,724,172",58.7%,"$92,000,000",41.3%,1989
783,784,Fahrenheit 9/11,"$222,446,882","$119,194,771",53.6%,"$103,252,111",46.4%,2004
